gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0.00,1.00,순위
다사6273,1,11,0,1,4,9,0,5,138,4836,0.42,0.58,88
다사6736,0,7,0,0,19,11,1,9,289,11003,0.42,0.58,89
다사7388,0,8,0,1,15,21,0,10,202,8112,0.42,0.58,90
다사4767,0,7,0,1,9,21,0,10,265,8292,0.43,0.57,91
다사6425,1,9,0,1,23,28,0,17,862,19638,0.43,0.57,92
다사7553,1,4,0,0,6,13,1,20,317,10274,0.44,0.56,93
다사7448,1,8,0,1,12,15,0,11,308,12346,0.44,0.56,94
다사3741,0,6,0,0,14,32,0,10,356,11546,0.45,0.55,95
다바6196,0,5,0,0,16,16,0,10,299,9697,0.45,0.55,96
다바6488,0,15,0,1,9,16,0,18,286,13760,0.45,0.55,97
다사3638,0,12,0,1,17,26,0,5,320,14603,0.46,0.54,98
다사3158,0,12,0,0,11,13,0,18,624,16112,0.46,0.54,99
다사4023,0,24,0,1,19,20,0,13,872,19828,0.46,0.54,100
다사3663,0,3,0,0,13,14,0,13,321,11037,0.46,0.54,101
다사5619,0,5,0,1,19,16,0,10,255,11417,0.46,0.54,102
다사6072,1,8,0,0,12,31,0,13,370,11763,0.47,0.53,103
다사9520,0,17,0,0,29,18,0,6,528,15951,0.47,0.53,104
다사6631,0,16,1,1,17,22,1,10,313,12460,0.47,0.53,105
다바6197,0,4,0,0,4,13,0,16,368,10148,0.47,0.53,106
다사5620,0,4,0,0,11,18,0,10,248,10513,0.47,0.53,107
다사5518,0,17,0,1,20,47,2,8,406,7548,0.47,0.53,108
다사4442,0,8,0,1,5,17,1,13,418,11126,0.47,0.53,109
다사2260,0,9,0,0,26,10,0,12,1105,15802,0.48,0.52,110
다사5972,1,15,0,1,30,29,1,23,733,22780,0.48,0.52,111
다사3364,1,22,0,1,18,24,1,15,359,10700,0.48,0.52,112
다사6938,0,23,0,0,18,25,3,19,769,24908,0.48,0.52,113
다사4322,0,26,0,1,23,22,1,27,596,23468,0.49,0.51,114
다사5819,0,16,0,1,20,15,0,16,592,17269,0.49,0.51,115
다사3746,0,4,0,0,9,14,0,14,362,11859,0.49,0.51,116
다사6519,1,12,0,1,22,28,1,11,780,17922,0.50,0.50,117
다사6272,0,9,0,0,14,35,1,13,399,11978,0.50,0.50,118
다사6006,0,3,0,0,34,13,0,4,205,9595,0.50,0.50,119
다사6219,0,12,0,0,11,17,0,17,485,9313,0.50,0.50,120
다바6095,0,10,0,1,26,21,1,10,269,13463,0.51,0.49,121
다사7250,0,10,0,0,9,14,0,16,907,13026,0.51,0.49,122
다사5718,1,11,0,0,23,25,1,16,283,13416,0.51,0.49,123
다사6018,0,4,0,1,8,18,0,14,396,10804,0.52,0.48,124
다사6819,1,10,0,0,6,6,1,6,284,7567,0.52,0.48,125
다사6634,1,15,0,0,14,20,0,14,540,12179,0.52,0.48,126
다사6660,0,6,0,0,9,24,0,11,324,8400,0.53,0.47,127
다바3998,0,7,0,1,13,16,0,4,85,3476,0.53,0.47,128
다사3647,0,6,0,1,10,20,0,6,251,9110,0.53,0.47,129
다사6411,0,10,0,0,9,10,0,17,962,15273,0.54,0.46,130
다사6016,0,15,0,0,22,16,0,21,906,17408,0.54,0.46,131
다사4024,1,13,1,3,26,16,0,7,229,9242,0.54,0.46,132
다사6937,0,15,0,1,19,27,0,21,555,21259,0.54,0.46,133
다사5313,0,6,0,1,4,27,0,9,421,10447,0.54,0.46,134
다사3565,0,13,0,0,18,31,1,47,1207,35062,0.54,0.46,135
다사3665,0,13,0,0,20,33,0,24,527,22606,0.54,0.46,136
다사4257,0,9,0,0,6,32,1,11,430,13692,0.54,0.46,137
다사7315,1,16,0,1,22,15,1,11,483,12893,0.54,0.46,138
다사5332,0,17,0,0,13,23,0,33,1326,27599,0.55,0.45,139
다사4059,0,11,0,0,4,17,0,20,640,19437,0.55,0.45,140
다사6205,0,7,0,1,14,13,0,16,353,11642,0.55,0.45,141
다사3738,1,17,0,0,31,23,0,38,1523,34080,0.55,0.45,142
다바6195,0,3,0,0,5,17,0,15,317,11148,0.55,0.45,143
다사6731,0,9,0,0,6,17,0,13,564,17621,0.55,0.45,144
다사5322,1,9,0,1,26,33,1,22,506,19718,0.56,0.44,145
다사3637,0,4,0,1,12,25,0,11,259,12383,0.56,0.44,146
다사5721,0,3,0,1,9,16,0,7,235,11398,0.56,0.44,147
다사4341,0,9,0,0,3,14,0,18,867,20312,0.56,0.44,148
다바6788,0,5,0,0,16,13,0,5,262,7465,0.56,0.44,149
다사6377,0,6,0,1,12,18,0,14,400,11552,0.56,0.44,150
다사7268,0,14,0,1,8,14,0,15,563,11460,0.57,0.43,151
다사6106,1,5,1,1,15,26,0,7,189,9529,0.57,0.43,152
다사3666,0,3,0,1,7,23,0,10,273,9955,0.57,0.43,153
다사3674,0,12,0,1,14,22,1,21,311,9785,0.57,0.43,154
다사5312,0,4,0,0,13,15,0,9,377,8245,0.57,0.43,155
다바7890,0,6,0,1,16,15,0,18,352,11809,0.57,0.43,156
다사4833,1,39,0,1,38,44,1,12,460,22406,0.57,0.43,157
다사5920,1,6,0,0,16,18,0,8,144,5717,0.58,0.42,158
다사3443,0,12,0,1,27,22,0,21,640,24065,0.58,0.42,159
다사3642,0,21,0,1,21,22,0,19,462,22655,0.58,0.42,160
다사3661,1,24,0,2,16,19,1,21,690,23575,0.59,0.41,161
다사3442,0,4,0,0,5,16,0,6,407,8963,0.59,0.41,162
다사3345,0,9,0,0,25,18,1,6,466,13331,0.59,0.41,163
다바7990,0,4,0,0,14,14,0,8,213,8985,0.59,0.41,164
다사5132,1,33,0,2,28,35,1,25,815,21191,0.60,0.40,165
다사6719,0,6,0,0,8,19,1,18,379,12943,0.60,0.40,166
다사4931,0,2,0,0,8,15,0,8,270,10377,0.60,0.40,167
다사5229,0,12,0,0,7,27,0,31,1195,28445,0.60,0.40,168
다사6216,0,3,0,0,18,20,0,9,305,9146,0.60,0.40,169
다사5113,0,9,0,0,17,27,0,22,586,16771,0.60,0.40,170
다사7418,0,3,0,0,9,20,1,7,285,9812,0.61,0.39,171
