gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0,1,순위
다사7588,0,0,0,0,0,0,0,0,0,25,1,0,2094
다사8550,0,0,0,0,0,2,0,0,0,172,1,0,2095
라사1511,0,0,0,0,0,2,0,0,0,53,1,0,2096
다아6801,0,0,0,0,0,0,0,0,0,0,1,0,2097
다사7195,0,0,0,0,0,0,0,0,0,82,1,0,2098
라사0243,0,0,0,0,1,2,0,0,30,474,1,0,2099
다사8899,0,0,0,0,0,0,0,0,0,19,1,0,2100
다사8757,0,0,0,0,0,0,0,0,10,418,1,0,2101
다사7462,0,0,0,0,0,4,0,0,0,57,1,0,2102
다사8258,0,0,0,0,0,8,0,0,0,360,1,0,2103
다사9027,0,0,0,0,0,4,0,0,0,83,1,0,2104
다아8103,0,0,0,0,0,0,0,0,0,0,1,0,2105
라사1106,0,0,0,0,0,2,0,0,0,84,1,0,2106
다사6875,0,0,0,0,1,2,0,0,0,74,1,0,2107
다아6011,0,0,0,0,0,0,0,0,0,9,1,0,2108
라사1810,0,0,0,0,0,1,0,0,0,39,1,0,2109
다사9457,0,0,0,0,0,4,0,0,0,106,1,0,2110
다사5490,0,0,0,0,0,2,0,0,0,7,1,0,2111
다사6197,0,0,0,0,0,3,0,0,0,67,1,0,2112
다바8398,0,0,0,0,0,5,0,1,0,115,1,0,2113
라사1019,0,0,0,0,0,0,0,0,0,232,1,0,2114
다사5495,0,0,0,0,0,0,0,0,0,0,1,0,2115
다사6500,0,0,0,0,0,4,0,0,0,135,1,0,2116
다사4315,0,0,0,0,1,6,0,1,19,1119,1,0,2117
다사9154,0,0,0,0,0,0,0,0,0,12,1,0,2118
다사7620,0,1,0,1,7,8,0,3,103,3162,1,0,2119
다사4202,0,0,0,0,0,0,0,0,0,27,1,0,2120
다사3865,0,0,0,0,2,4,0,0,110,1855,1,0,2121
다사7202,0,0,0,0,0,0,0,0,0,0,1,0,2122
다사1620,0,0,0,0,0,0,0,0,0,50,1,0,2123
라사1926,0,0,0,0,0,0,0,0,0,67,1,0,2124
다바6483,0,0,0,0,0,0,0,0,0,82,1,0,2125
다바8284,0,0,0,0,0,0,0,0,0,45,1,0,2126
라사1505,0,0,0,0,0,0,0,0,0,31,1,0,2127
다사5534,0,0,0,0,0,2,0,0,15,194,1,0,2128
다사3876,0,0,0,0,0,0,0,1,0,141,1,0,2129
다사7375,0,0,0,0,0,1,0,0,0,44,1,0,2130
다사9564,0,0,0,0,0,0,0,0,0,19,1,0,2131
다사3177,0,0,0,0,0,4,0,0,0,113,1,0,2132
다사8270,0,0,0,0,0,2,0,0,0,172,1,0,2133
다바9996,0,0,0,0,0,2,0,0,0,63,1,0,2134
다아8903,0,0,0,0,0,0,0,0,0,83,1,0,2135
다사8089,0,0,0,0,0,4,0,0,0,54,1,0,2136
라사0108,0,0,0,0,0,2,0,0,0,73,1,0,2137
다바7397,0,0,0,0,0,0,0,0,0,99,1,0,2138
라사0254,0,0,0,0,0,0,0,0,0,7,1,0,2139
다사7670,0,0,0,0,0,0,0,0,0,221,1,0,2140
다사8875,0,0,0,0,0,2,0,1,0,116,1,0,2141
다사7320,0,0,0,0,0,0,0,0,0,180,1,0,2142
다사6065,0,0,0,0,2,6,0,3,99,3229,1,0,2143
다사6784,0,0,0,0,0,0,0,0,0,54,1,0,2144
다사6812,0,0,0,0,0,0,0,0,0,19,1,0,2145
다바8598,0,0,0,0,0,0,0,0,0,15,1,0,2146
다사9741,0,1,0,0,0,3,0,0,12,436,1,0,2147
다사5223,0,0,0,0,1,13,0,10,202,4556,1,0,2148
다사6698,0,0,0,0,0,0,0,0,0,0,1,0,2149
다사8081,0,0,0,0,0,0,0,0,0,11,1,0,2150
다사6228,0,0,0,0,0,17,0,0,0,124,1,0,2151
다사8464,0,0,0,0,0,2,0,0,0,74,1,0,2152
다사8519,0,0,0,0,0,2,0,0,0,230,1,0,2153
라사1826,0,0,0,0,0,5,0,0,0,107,1,0,2154
라바0196,0,0,0,0,0,2,0,0,0,117,1,0,2155
다사4127,0,0,0,0,0,2,0,0,0,23,1,0,2156
라사2231,0,0,0,0,0,0,0,0,0,28,1,0,2157
다사4500,0,0,0,0,0,2,0,0,0,112,1,0,2158
다사9167,0,0,0,0,0,0,0,0,0,54,1,0,2159
다사2259,0,0,0,0,0,2,0,0,0,58,1,0,2160
다사5161,0,0,0,0,0,0,0,0,0,15,1,0,2161
다사9731,0,0,0,0,0,0,0,0,0,0,1,0,2162
다아5504,0,0,0,0,0,0,0,0,0,9,1,0,2163
다바6986,0,0,0,0,0,0,0,0,0,42,1,0,2164
다아4704,0,0,0,0,0,0,0,0,0,23,1,0,2165
다사6914,0,0,0,0,0,0,0,0,0,68,1,0,2166
라사0507,0,0,0,0,0,0,0,0,0,0,1,0,2167
다사2916,0,0,0,0,0,2,0,0,0,136,1,0,2168
라사2248,0,0,0,0,0,2,0,0,0,19,1,0,2169
다사5415,0,0,0,0,1,4,0,0,0,23,1,0,2170
다사9407,0,0,0,0,0,4,0,0,0,93,1,0,2171
다사6200,0,0,0,0,2,5,0,2,9,369,1,0,2172
다사2914,0,0,0,0,0,6,0,0,0,200,1,0,2173
다사5171,0,0,0,0,0,0,0,0,0,54,1,0,2174
다사8057,0,0,0,0,0,1,0,0,0,90,1,0,2175
다아5404,0,0,0,0,0,0,0,0,0,9,1,0,2176
라사0119,0,0,0,0,1,5,0,1,0,227,1,0,2177
다아7001,0,0,0,0,0,0,0,0,0,16,1,0,2178
다아4500,0,0,0,0,0,2,0,0,0,20,1,0,2179
다바4994,0,0,0,0,0,2,0,0,0,271,1,0,2180
다사9005,0,0,0,0,0,2,0,0,0,81,1,0,2181
다사9554,0,0,0,0,0,0,0,0,0,6,1,0,2182
다사7862,0,0,0,0,1,4,0,8,238,5033,1,0,2183
다사4479,0,0,0,0,1,0,0,0,0,81,1,0,2184
다사7434,0,0,0,0,2,4,0,1,86,2259,1,0,2185
다사4014,0,0,0,0,0,1,0,0,0,40,1,0,2186
다사5511,0,0,0,0,1,8,0,0,0,87,1,0,2187
다사6928,0,1,0,0,3,4,0,4,301,3762,1,0,2188
다사8365,0,0,0,0,1,8,0,1,17,675,1,0,2189
다사5808,0,0,0,0,0,0,0,1,72,780,1,0,2190
다사6959,0,0,0,0,1,1,0,0,137,1307,1,0,2191
다바6191,0,0,0,0,2,7,1,0,0,316,1,0,2192
라사0424,0,0,0,0,0,4,0,0,0,39,1,0,2193
라사1407,0,0,0,0,0,5,0,0,0,150,1,0,2194
다사1568,0,0,0,0,0,2,0,0,0,94,1,0,2195
다사8390,0,0,0,0,0,2,0,0,0,170,1,0,2196
다사6863,0,0,0,0,0,2,0,0,0,0,1,0,2197
라사0015,0,0,0,0,0,7,0,0,0,114,1,0,2198
다사5602,0,0,0,0,1,0,0,0,0,250,1,0,2199
다사1770,0,0,0,0,0,2,0,0,0,104,1,0,2200
다사6167,0,0,0,0,0,0,0,0,0,68,1,0,2201
다사9343,0,0,0,0,0,0,0,0,0,75,1,0,2202
다사8904,0,0,0,0,0,0,0,0,0,9,1,0,2203
다사8702,0,0,0,0,0,6,0,0,0,60,1,0,2204
다사3477,0,0,0,0,0,0,0,0,0,6,1,0,2205
다사9222,0,0,0,0,1,0,0,1,34,697,1,0,2206
다아4604,0,0,0,0,0,0,0,0,0,0,1,0,2207
다사6488,0,0,0,0,0,0,0,1,0,204,1,0,2208
다사8622,0,0,0,0,0,0,0,0,0,70,1,0,2209
라사2432,0,0,0,0,0,0,0,0,0,71,1,0,2210
다아4701,0,0,0,0,0,4,0,0,0,94,1,0,2211
다사3727,0,0,0,0,0,2,0,0,14,344,1,0,2212
다사4292,0,0,0,0,0,2,0,0,0,12,1,0,2213
다사2875,0,0,0,0,2,3,0,0,0,21,1,0,2214
다사5085,0,0,0,0,0,0,0,0,0,6,1,0,2215
다바8796,0,0,0,0,0,0,0,0,0,97,1,0,2216
다사8042,0,0,0,0,0,2,0,0,0,74,1,0,2217
라사2434,0,0,0,0,0,0,0,0,0,174,1,0,2218
다아7910,0,0,0,0,3,0,0,2,15,1313,1,0,2219
다사2793,0,0,0,0,0,1,0,0,0,114,1,0,2220
다아8801,0,0,0,0,1,6,0,0,0,312,1,0,2221
라사0532,0,0,0,0,0,2,0,0,0,126,1,0,2222
다사9598,0,0,0,0,0,0,0,0,0,11,1,0,2223
다바8985,0,0,0,0,0,0,0,0,0,0,1,0,2224
다사9160,0,0,0,0,0,4,0,0,0,42,1,0,2225
다아7306,0,0,0,0,0,0,0,0,0,6,1,0,2226
다사6764,0,0,0,0,0,6,0,1,8,161,1,0,2227
다바8390,0,0,0,0,0,3,0,0,0,126,1,0,2228
다사2112,0,0,0,0,0,1,0,0,0,47,1,0,2229
다사9510,0,0,0,0,0,0,0,0,0,36,1,0,2230
다사8493,0,0,0,0,0,0,0,0,0,55,1,0,2231
라사0071,0,0,0,0,0,5,0,0,0,98,1,0,2232
다바7883,0,0,0,0,0,6,0,2,0,185,1,0,2233
라사2047,0,0,0,0,0,0,0,0,0,6,1,0,2234
다사6891,0,0,0,0,0,1,0,0,0,0,1,0,2235
다사4056,0,0,0,0,1,5,0,1,8,489,1,0,2236
라사0009,0,0,0,0,0,0,0,0,0,49,1,0,2237
다사6865,0,0,0,0,0,0,0,0,0,0,1,0,2238
다사5999,0,0,0,0,0,2,0,0,0,44,1,0,2239
라사1010,0,0,0,0,0,0,0,0,0,8,1,0,2240
다아6924,0,0,0,0,0,0,0,0,0,15,1,0,2241
다사6166,0,0,0,0,0,0,0,0,0,20,1,0,2242
다사3813,0,0,0,0,0,0,0,0,0,176,1,0,2243
다사8500,0,0,0,0,0,2,0,0,0,27,1,0,2244
다사8071,0,0,0,0,0,8,0,0,0,178,1,0,2245
라사1128,0,0,0,0,0,0,0,0,0,48,1,0,2246
다사6614,0,1,0,0,0,0,0,0,65,1126,1,0,2247
다사1764,0,0,0,0,0,0,0,0,0,99,1,0,2248
라사1934,0,0,0,0,0,0,0,0,0,35,1,0,2249
다사2572,0,0,0,0,0,6,0,0,0,158,1,0,2250
다사5731,0,0,0,0,0,0,0,0,0,7,1,0,2251
다바7785,0,0,0,0,1,8,0,0,39,924,1,0,2252
다바4681,0,0,0,0,0,0,0,0,0,36,1,0,2253
라사2137,0,0,0,0,0,2,0,0,0,131,1,0,2254
다사8559,0,0,0,0,0,3,0,0,0,37,1,0,2255
다아5208,0,0,0,0,0,0,0,0,0,15,1,0,2256
다아6501,0,0,0,0,0,0,0,0,0,47,1,0,2257
다사5037,0,0,0,0,0,0,0,0,0,9,1,0,2258
다사7755,0,0,0,0,1,8,0,0,6,202,1,0,2259
라사2224,0,0,0,0,0,4,0,0,0,54,1,0,2260
다사8963,0,0,0,0,0,4,0,0,0,87,1,0,2261
다사9296,0,0,0,0,0,3,0,0,0,29,1,0,2262
다사7107,0,0,0,0,0,5,0,0,0,139,1,0,2263
다바5199,0,0,0,0,0,1,0,1,0,110,1,0,2264
라사0184,0,0,0,0,0,2,0,1,0,175,1,0,2265
다사8131,0,1,0,1,3,7,0,1,102,3466,1,0,2266
다아7502,0,0,0,0,0,0,0,0,0,0,1,0,2267
다사4086,0,0,0,0,0,0,0,0,0,0,1,0,2268
라사0710,0,0,0,0,0,0,0,0,0,8,1,0,2269
라사0821,0,0,0,0,0,0,0,0,0,33,1,0,2270
다사3415,0,0,0,0,1,0,0,0,0,56,1,0,2271
다사7148,0,0,0,0,0,6,0,2,7,469,1,0,2272
다사2156,0,0,0,0,0,0,0,0,0,8,1,0,2273
다사8167,0,0,0,0,0,0,0,0,0,19,1,0,2274
라사0102,0,0,0,0,0,2,0,0,0,180,1,0,2275
다바8696,0,0,0,0,0,0,0,0,0,32,1,0,2276
다바7185,0,0,0,0,0,1,0,0,0,259,1,0,2277
다바7783,0,0,0,0,1,2,0,0,0,159,1,0,2278
다아8803,0,1,0,1,2,4,0,3,145,1595,1,0,2279
다사5116,0,0,0,0,1,8,0,1,38,1529,1,0,2280
다사8504,0,0,0,0,0,1,0,0,0,41,1,0,2281
라사1722,0,0,0,0,0,2,0,0,0,96,1,0,2282
다사7892,0,0,0,0,0,0,0,0,0,0,1,0,2283
다사5007,0,0,0,0,0,0,0,0,21,319,1,0,2284
다바5782,0,0,0,0,0,2,0,0,0,59,1,0,2285
다사8833,0,0,0,0,0,0,0,0,0,0,1,0,2286
다사8112,0,0,0,0,0,0,0,0,0,26,1,0,2287
다바9491,0,0,0,0,0,2,0,0,0,74,1,0,2288
라사0202,0,0,0,0,0,0,0,0,0,41,1,0,2289
라사0367,0,0,0,0,0,3,0,0,0,37,1,0,2290
다사9377,0,0,0,0,0,0,0,0,0,7,1,0,2291
다사6590,0,0,0,0,0,0,0,0,0,15,1,0,2292
라사1227,0,0,0,0,0,6,0,0,0,26,1,0,2293
라사0645,0,0,0,0,0,0,0,0,0,32,1,0,2294
다바3891,0,0,0,0,0,0,0,0,0,0,1,0,2295
다사8348,0,0,0,0,0,0,0,0,0,82,1,0,2296
다바3795,0,0,0,0,0,6,0,1,30,585,1,0,2297
다아7311,0,0,0,0,0,0,0,0,0,53,1,0,2298
다아8019,0,0,0,0,0,0,0,0,0,24,1,0,2299
다바8586,0,0,0,0,0,2,0,0,0,21,1,0,2300
다사4704,0,0,0,0,2,13,0,2,109,3721,1,0,2301
다바6398,0,0,0,0,2,5,0,0,8,309,1,0,2302
다사5287,0,0,0,0,0,8,0,0,0,65,1,0,2303
다사7721,0,0,0,0,0,0,0,0,0,255,1,0,2304
다사4333,0,0,0,0,0,5,0,0,0,85,1,0,2305
다바9598,0,0,0,0,1,6,0,0,0,43,1,0,2306
다사5395,0,0,0,0,0,0,0,0,0,0,1,0,2307
다아6502,0,0,0,0,0,5,0,0,0,86,1,0,2308
다바5192,0,0,0,0,0,0,0,0,0,35,1,0,2309
다사7198,0,0,0,0,0,4,0,0,0,80,1,0,2310
다사3933,0,1,0,0,0,2,0,4,130,3979,1,0,2311
라사1832,0,0,0,0,0,1,0,0,0,46,1,0,2312
다사7962,0,0,0,0,1,0,0,2,44,2056,1,0,2313
다사4555,0,1,0,0,0,7,0,0,101,2445,1,0,2314
다사5828,0,0,0,0,0,0,0,0,0,25,1,0,2315
다아7902,0,0,0,0,0,0,0,0,0,122,1,0,2316
다아6515,0,0,0,0,0,0,0,0,0,0,1,0,2317
다바8895,0,0,0,0,1,5,0,0,0,156,1,0,2318
다사8209,0,0,0,0,1,5,0,0,0,215,1,0,2319
다사2956,0,0,0,0,0,0,0,0,0,0,1,0,2320
다바7881,0,0,0,0,0,4,0,0,0,75,1,0,2321
다아8211,0,0,0,0,0,0,0,0,0,15,1,0,2322
다사4763,0,0,0,0,0,2,0,0,0,240,1,0,2323
라사0343,0,0,0,0,0,5,0,0,0,334,1,0,2324
다사4530,0,0,0,0,0,0,0,0,0,14,1,0,2325
다사8160,0,0,0,0,1,6,0,2,35,850,1,0,2326
다바4991,0,0,0,0,0,3,0,1,0,52,1,0,2327
다사4480,0,0,0,0,0,0,0,0,0,15,1,0,2328
다사8138,0,0,0,0,0,0,0,0,0,7,1,0,2329
다사9615,0,0,0,0,0,1,0,0,0,29,1,0,2330
라사1824,0,0,0,0,0,0,0,0,0,12,1,0,2331
다바7186,0,0,0,0,0,0,0,0,0,23,1,0,2332
다사2060,0,0,0,0,0,0,0,0,0,187,1,0,2333
다사3578,0,0,0,0,0,1,0,0,0,462,1,0,2334
다아7506,0,0,0,0,0,0,0,0,0,9,1,0,2335
라사0914,0,0,0,0,0,2,0,0,0,76,1,0,2336
다사5702,0,0,0,0,1,1,0,1,0,137,1,0,2337
다사7920,0,0,0,0,0,0,0,0,0,0,1,0,2338
다사3956,0,0,0,0,0,6,0,0,0,308,1,0,2339
라사1531,0,0,0,0,0,4,0,0,0,52,1,0,2340
다사4770,0,0,0,0,0,1,0,0,0,54,1,0,2341
라사0177,0,0,0,0,0,4,0,0,0,114,1,0,2342
다사4921,0,0,0,0,0,0,0,0,0,37,1,0,2343
다사9722,0,1,0,0,3,4,0,4,174,3078,1,0,2344
다사1859,0,0,0,0,0,0,0,0,0,213,1,0,2345
다사4376,0,0,0,0,0,4,0,0,0,245,1,0,2346
다사7688,0,0,0,0,0,4,0,0,0,210,1,0,2347
다사5693,0,0,0,0,0,2,0,0,0,32,1,0,2348
다사8957,0,0,0,0,0,0,0,0,0,25,1,0,2349
라사0739,0,0,0,0,0,0,0,0,0,55,1,0,2350
다바9592,0,0,0,0,0,0,0,0,0,12,1,0,2351
다사8678,0,0,0,0,0,4,0,2,60,552,1,0,2352
다사7715,0,0,0,0,0,0,0,0,0,18,1,0,2353
다사2872,0,0,0,0,0,8,0,0,0,180,1,0,2354
다바7980,0,0,0,0,0,0,0,0,0,8,1,0,2355
다사5839,0,0,0,0,2,6,0,2,15,394,1,0,2356
다사3231,0,1,0,0,4,4,0,13,611,5763,1,0,2357
다사6329,0,0,0,0,0,0,0,0,0,19,1,0,2358
다바8183,0,0,0,0,0,0,0,0,0,0,1,0,2359
라사1025,0,0,0,0,0,2,0,0,0,108,1,0,2360
다바7591,0,0,0,0,0,4,0,0,0,263,1,0,2361
다사4277,0,0,0,0,0,6,0,1,0,129,1,0,2362
다사7847,0,0,0,0,0,0,0,0,0,0,1,0,2363
다사1564,0,0,0,0,0,5,0,0,0,130,1,0,2364
라사0754,0,0,0,0,0,1,0,0,0,33,1,0,2365
라사2144,0,0,0,0,0,0,0,0,0,0,1,0,2366
다사3676,0,0,0,0,0,1,0,0,0,27,1,0,2367
다사8776,0,0,0,0,0,0,0,0,0,230,1,0,2368
다사5203,0,0,0,0,0,4,0,0,0,263,1,0,2369
다사3476,0,0,0,0,0,0,0,0,0,22,1,0,2370
다사8147,0,0,0,0,1,8,0,0,0,213,1,0,2371
다사7623,0,0,0,0,0,0,0,1,0,54,1,0,2372
다사3224,0,0,0,0,2,14,0,0,0,46,1,0,2373
라사0121,0,0,0,0,2,4,0,0,11,458,1,0,2374
다사9431,0,0,0,0,1,2,0,0,0,125,1,0,2375
다사7522,0,0,0,0,1,4,0,0,0,353,1,0,2376
다사2516,0,0,0,0,0,1,0,0,0,18,1,0,2377
다사8407,0,0,0,0,0,0,0,0,0,158,1,0,2378
다사6280,0,0,0,0,0,7,0,2,0,72,1,0,2379
라사1214,0,0,0,0,0,4,0,0,0,116,1,0,2380
다사8822,0,0,0,0,0,0,0,0,0,219,1,0,2381
다사3355,0,0,0,0,0,0,0,0,0,120,1,0,2382
다사6975,0,0,0,0,0,4,0,1,11,407,1,0,2383
다사3640,0,0,0,0,0,4,0,0,0,174,1,0,2384
라사0860,0,0,0,0,0,0,0,0,0,21,1,0,2385
다사6688,0,0,0,0,0,4,0,0,0,96,1,0,2386
다바7799,0,0,0,0,0,0,0,0,0,16,1,0,2387
다사7942,0,0,0,0,0,0,0,0,0,16,1,0,2388
다아6008,0,0,0,0,0,0,0,0,0,14,1,0,2389
다사4576,0,0,0,0,0,3,0,0,0,123,1,0,2390
다사5530,0,0,0,0,0,8,0,0,12,275,1,0,2391
다사8426,0,0,0,0,1,2,0,1,13,577,1,0,2392
다사4784,0,0,0,0,0,0,0,0,0,29,1,0,2393
다사6653,0,0,0,0,0,0,0,1,16,479,1,0,2394
다사8437,0,0,0,0,0,0,0,0,0,222,1,0,2395
다사5506,0,0,0,0,0,0,0,0,0,20,1,0,2396
다사6285,0,0,0,0,0,1,0,0,0,58,1,0,2397
다사2806,0,0,0,0,0,2,0,0,0,37,1,0,2398
다사2256,0,0,0,0,0,0,0,0,0,20,1,0,2399
다사4969,0,0,0,0,0,1,0,0,0,109,1,0,2400
라사1017,0,0,0,0,0,0,0,0,0,15,1,0,2401
라사1023,0,0,0,0,0,2,0,0,0,15,1,0,2402
다사6596,0,0,0,0,0,6,0,0,0,29,1,0,2403
다사6420,0,0,0,0,1,6,0,0,10,529,1,0,2404
다바7998,0,0,0,0,0,6,0,1,0,100,1,0,2405
다사4917,0,0,0,0,0,0,0,0,19,983,1,0,2406
다사6916,0,0,0,0,0,1,0,0,0,20,1,0,2407
다사8507,0,0,0,0,0,4,0,0,0,144,1,0,2408
다사3586,0,0,0,0,0,2,0,0,0,109,1,0,2409
다사5981,0,0,0,0,0,0,0,0,0,18,1,0,2410
다사8492,0,0,0,0,0,0,0,0,0,0,1,0,2411
다바5193,0,0,0,0,0,6,0,0,0,108,1,0,2412
라사1419,0,0,0,0,0,0,0,0,0,41,1,0,2413
다사4470,0,0,0,0,0,0,0,0,0,18,1,0,2414
다사4172,0,0,0,0,1,3,0,0,0,310,1,0,2415
라사1632,0,0,0,0,0,0,0,0,0,93,1,0,2416
다사4724,0,0,0,1,0,4,0,0,0,133,1,0,2417
다사9176,0,0,0,0,0,0,0,0,0,13,1,0,2418
다사9369,0,0,0,0,1,6,0,0,0,53,1,0,2419
다사5790,0,0,0,0,0,6,0,0,21,269,1,0,2420
라사2241,0,0,0,0,0,0,0,0,0,0,1,0,2421
라사0001,0,0,0,0,0,0,0,0,0,16,1,0,2422
다사5095,0,0,0,0,0,0,0,0,0,7,1,0,2423
다사7078,0,0,0,0,1,8,0,0,0,244,1,0,2424
다사9170,0,0,0,0,0,0,0,0,0,31,1,0,2425
다사8719,0,0,0,0,0,0,0,0,0,134,1,0,2426
라사2226,0,0,0,0,0,2,0,1,0,75,1,0,2427
다사3772,0,0,0,0,0,3,0,0,0,28,1,0,2428
다사9342,0,0,0,0,0,0,0,0,0,114,1,0,2429
다사6483,0,0,0,0,0,6,0,1,10,403,1,0,2430
다사8854,0,0,0,0,0,0,0,0,0,11,1,0,2431
다사9149,0,0,0,0,0,0,0,0,0,12,1,0,2432
다사8207,0,0,0,0,0,5,0,0,0,174,1,0,2433
다사9680,0,0,0,0,0,0,0,0,0,0,1,0,2434
라사2450,0,0,0,0,0,0,0,0,0,61,1,0,2435
다사7539,0,0,0,0,0,4,0,0,0,76,1,0,2436
다바5084,0,0,0,0,0,1,0,0,0,83,1,0,2437
다사1466,0,0,0,0,0,2,0,0,0,32,1,0,2438
다사5807,0,0,0,0,0,8,0,3,193,1969,1,0,2439
다사8607,0,0,0,0,0,0,0,0,9,113,1,0,2440
다아7410,0,0,0,0,0,1,0,0,0,28,1,0,2441
다바3698,0,0,0,0,0,2,0,0,0,154,1,0,2442
다사4806,0,0,0,0,0,3,0,0,0,184,1,0,2443
다바4092,0,0,0,0,0,0,0,0,0,0,1,0,2444
라사1534,0,0,0,0,0,0,0,0,0,0,1,0,2445
라사0721,0,0,0,0,0,2,0,0,8,191,1,0,2446
다아6621,0,0,0,0,0,2,0,0,0,66,1,0,2447
라사0732,0,0,0,0,0,0,0,0,0,39,1,0,2448
라사1535,0,0,0,0,0,0,0,0,0,59,1,0,2449
다사9060,0,0,0,0,0,4,0,0,0,158,1,0,2450
라사0334,0,0,0,0,0,2,0,0,0,89,1,0,2451
다사9212,0,0,0,0,0,4,0,0,0,106,1,0,2452
다아8402,0,0,0,0,0,0,0,0,0,42,1,0,2453
다사1718,0,0,0,0,0,2,0,0,10,431,1,0,2454
라사0344,0,0,0,0,0,0,0,0,0,16,1,0,2455
다사5581,0,0,0,0,1,8,0,0,0,122,1,0,2456
다사3766,0,0,0,0,0,0,0,0,0,67,1,0,2457
다사8801,0,0,0,0,0,2,0,0,0,83,1,0,2458
다바9085,0,0,0,0,0,0,0,0,0,0,1,0,2459
다사8181,0,0,0,0,1,2,0,1,0,156,1,0,2460
다사9576,0,0,0,0,0,0,0,0,0,23,1,0,2461
다사8171,0,0,0,0,0,3,0,0,0,205,1,0,2462
다사7186,0,0,0,0,0,0,0,0,0,106,1,0,2463
다사9083,0,0,0,0,0,0,0,0,0,6,1,0,2464
다사1662,0,0,0,0,0,4,0,0,0,123,1,0,2465
다사8551,0,0,0,0,0,1,0,0,0,58,1,0,2466
다바4785,0,0,0,0,0,0,0,0,0,83,1,0,2467
라사1250,0,0,0,0,0,0,0,0,0,30,1,0,2468
다사5500,0,0,0,0,0,0,0,0,0,6,1,0,2469
라사0284,0,0,0,0,0,4,0,0,0,91,1,0,2470
다사3110,0,0,0,0,0,1,0,0,0,137,1,0,2471
라사0622,0,1,0,1,1,4,0,1,44,826,1,0,2472
다사8614,0,0,0,0,0,0,0,0,0,0,1,0,2473
라사1059,0,0,0,0,0,0,0,0,0,7,1,0,2474
다아7202,0,0,0,0,0,7,0,1,0,217,1,0,2475
다사4100,0,1,0,0,4,7,0,0,10,304,1,0,2476
라사1951,0,0,0,0,0,4,0,0,0,97,1,0,2477
라사1446,0,0,0,0,0,7,0,0,0,166,1,0,2478
다사5204,0,0,0,0,0,0,0,0,0,63,1,0,2479
라사1504,0,0,0,0,0,0,0,0,0,0,1,0,2480
다사7561,0,0,0,0,0,0,0,0,0,11,1,0,2481
라사0642,0,0,0,0,0,2,0,0,0,244,1,0,2482
다바7295,0,1,0,1,3,5,0,1,0,620,1,0,2483
다바7899,0,0,0,0,0,5,0,0,0,132,1,0,2484
라사0610,0,0,0,0,0,0,0,0,0,7,1,0,2485
다사2208,0,0,0,0,2,5,0,1,0,199,1,0,2486
라사1813,0,0,0,0,0,1,0,0,0,48,1,0,2487
다바8099,0,0,0,0,1,4,0,0,0,91,1,0,2488
다사4482,0,0,0,0,0,4,0,0,0,200,1,0,2489
다바6592,0,0,0,0,0,3,0,0,87,703,1,0,2490
라바0897,0,0,0,0,0,6,0,0,0,86,1,0,2491
라사0084,0,0,0,0,0,2,0,0,0,110,1,0,2492
다사4455,0,1,0,0,3,15,0,1,27,953,1,0,2493
다사2711,0,0,0,0,0,0,0,0,0,29,1,0,2494
다사8069,0,0,0,0,0,1,0,0,0,282,1,0,2495
다사8257,0,0,0,0,1,2,0,0,6,231,1,0,2496
다사4166,0,0,0,0,1,6,0,1,94,2426,1,0,2497
다사7698,0,0,0,0,0,0,0,0,6,146,1,0,2498
다사7005,0,0,0,0,0,5,0,0,0,88,1,0,2499
다사9131,0,0,0,0,1,4,0,0,0,72,1,0,2500
다사8989,0,0,0,0,0,4,0,0,0,100,1,0,2501
다사6574,0,0,0,0,0,0,0,0,0,28,1,0,2502
다아6420,0,0,0,0,0,0,0,0,0,17,1,0,2503
다사1664,0,0,0,0,0,6,0,1,0,272,1,0,2504
다사8503,0,0,0,0,0,0,0,0,0,0,1,0,2505
다사3538,0,0,0,0,0,4,0,0,0,275,1,0,2506
라사0857,0,0,0,0,0,3,0,0,0,0,1,0,2507
라사2333,0,0,0,0,0,0,0,0,0,44,1,0,2508
다사5825,0,0,0,0,0,0,0,0,0,0,1,0,2509
다바9595,0,0,0,0,0,2,0,0,0,73,1,0,2510
다사7944,0,0,0,0,0,0,0,0,0,0,1,0,2511
다사7480,0,0,0,0,0,4,0,0,0,238,1,0,2512
다바9192,0,0,0,0,0,0,0,0,0,12,1,0,2513
다사9307,0,0,0,0,0,0,0,0,0,75,1,0,2514
라사1060,0,0,0,0,0,2,0,0,0,29,1,0,2515
다사9684,0,0,0,0,0,0,0,0,0,13,1,0,2516
라사0901,0,1,0,0,1,4,0,0,19,542,1,0,2517
다바4591,0,0,0,0,0,0,0,0,0,24,1,0,2518
라사0809,0,0,0,0,0,0,0,0,0,11,1,0,2519
라사0624,0,0,0,0,0,0,0,0,0,29,1,0,2520
다사3262,0,0,0,0,0,4,0,0,0,250,1,0,2521
다사2808,0,0,0,0,1,7,0,0,8,259,1,0,2522
다사6768,0,0,0,0,0,0,0,0,0,142,1,0,2523
다사5834,0,0,0,0,0,1,0,0,0,29,1,0,2524
다아6117,0,0,0,0,0,0,0,0,0,21,1,0,2525
다사3657,0,0,0,0,0,0,0,0,0,9,1,0,2526
다사5487,0,0,0,0,0,13,0,0,0,152,1,0,2527
다사5688,0,0,0,0,0,8,0,0,0,169,1,0,2528
