gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0,1,순위
다사6660,0,6,0,0,9,24,0,11,324,8400,0.53,0.47,88
다바3998,0,7,0,1,13,16,0,4,85,3476,0.53,0.47,89
다사3647,0,6,0,1,10,20,0,6,251,9110,0.53,0.47,90
다사6411,0,10,0,0,9,10,0,17,962,15273,0.54,0.46,91
다사6016,0,15,0,0,22,16,0,21,906,17408,0.54,0.46,92
다사6937,0,15,0,1,19,27,0,21,555,21259,0.54,0.46,93
다사5313,0,6,0,1,4,27,0,9,421,10447,0.54,0.46,94
다사3565,0,13,0,0,18,31,1,47,1207,35062,0.54,0.46,95
다사3665,0,13,0,0,20,33,0,24,527,22606,0.54,0.46,96
다사4257,0,9,0,0,6,32,1,11,430,13692,0.54,0.46,97
다사5332,0,17,0,0,13,23,0,33,1326,27599,0.55,0.45,98
다사4059,0,11,0,0,4,17,0,20,640,19437,0.55,0.45,99
다사6205,0,7,0,1,14,13,0,16,353,11642,0.55,0.45,100
다바6195,0,3,0,0,5,17,0,15,317,11148,0.55,0.45,101
다사6731,0,9,0,0,6,17,0,13,564,17621,0.55,0.45,102
다사3637,0,4,0,1,12,25,0,11,259,12383,0.56,0.44,103
다사5721,0,3,0,1,9,16,0,7,235,11398,0.56,0.44,104
다사4341,0,9,0,0,3,14,0,18,867,20312,0.56,0.44,105
다바6788,0,5,0,0,16,13,0,5,262,7465,0.56,0.44,106
다사6377,0,6,0,1,12,18,0,14,400,11552,0.56,0.44,107
다사7268,0,14,0,1,8,14,0,15,563,11460,0.57,0.43,108
다사3666,0,3,0,1,7,23,0,10,273,9955,0.57,0.43,109
다사3674,0,12,0,1,14,22,1,21,311,9785,0.57,0.43,110
다사5312,0,4,0,0,13,15,0,9,377,8245,0.57,0.43,111
다바7890,0,6,0,1,16,15,0,18,352,11809,0.57,0.43,112
다사3443,0,12,0,1,27,22,0,21,640,24065,0.58,0.42,113
다사3642,0,21,0,1,21,22,0,19,462,22655,0.58,0.42,114
다사3442,0,4,0,0,5,16,0,6,407,8963,0.59,0.41,115
다사3345,0,9,0,0,25,18,1,6,466,13331,0.59,0.41,116
다바7990,0,4,0,0,14,14,0,8,213,8985,0.59,0.41,117
다사6719,0,6,0,0,8,19,1,18,379,12943,0.6,0.4,118
다사4931,0,2,0,0,8,15,0,8,270,10377,0.6,0.4,119
다사5229,0,12,0,0,7,27,0,31,1195,28445,0.6,0.4,120
다사6216,0,3,0,0,18,20,0,9,305,9146,0.6,0.4,121
다사5113,0,9,0,0,17,27,0,22,586,16771,0.6,0.4,122
다사7418,0,3,0,0,9,20,1,7,285,9812,0.61,0.39,123
다사7454,0,12,0,1,11,14,1,21,385,13994,0.61,0.39,124
다사5333,0,17,0,0,21,20,1,14,466,14089,0.61,0.39,125
다사5480,0,6,0,1,9,24,0,9,236,5961,0.62,0.38,126
다사7251,0,22,0,0,26,11,0,21,1367,27431,0.62,0.38,127
다사6929,0,7,0,0,4,13,0,4,255,6823,0.62,0.38,128
다사3842,0,12,0,0,15,38,0,29,1049,29851,0.62,0.38,129
다사3327,0,7,0,0,47,19,0,20,306,11734,0.62,0.38,130
다사3566,0,14,0,1,16,32,0,47,1140,28839,0.62,0.38,131
다사7465,0,4,0,1,8,10,0,8,246,9522,0.63,0.37,132
다사3545,0,15,0,0,20,30,3,33,1370,32533,0.63,0.37,133
