gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
다사5341,0,0,0,1,0,1,13,4,0,6,535,20323
다사5056,0,0,0,3,0,0,4,7,0,5,624,10568
다사6440,0,0,0,3,0,0,4,20,0,7,434,9962
다사4957,0,0,0,14,0,1,20,28,1,10,761,28303
다사7151,0,0,0,4,0,1,9,26,0,17,457,15346
다사5854,0,1,1,9,0,0,20,24,1,4,84,7261
다사4344,0,1,1,14,1,0,15,38,1,19,1108,26777
다사4750,0,0,0,13,0,1,27,25,1,16,895,27109
다사6544,0,0,0,29,0,0,19,14,1,20,1843,33216
다사5346,0,0,0,8,0,0,4,12,0,4,587,13275
다사4951,0,0,0,10,0,1,39,23,0,4,498,21488
다사4751,1,0,1,10,0,0,33,36,1,15,684,32978
다사5044,0,0,0,10,0,0,16,41,0,22,1122,34500
다사5946,0,0,0,19,0,0,31,13,3,7,845,23721
다사6261,0,0,0,15,0,1,16,25,0,12,871,40228
다사4852,0,0,0,15,0,0,16,33,1,19,1397,26836
다사3551,0,0,0,0,0,0,0,2,0,0,0,6
다사5344,0,0,0,0,0,0,0,3,1,0,75,1089
다사5766,0,0,0,0,0,0,0,0,0,0,0,0
다사5254,0,0,0,0,0,0,1,5,0,1,46,1767
다사6656,0,0,0,0,0,0,0,0,0,0,0,27
다사5442,0,0,0,15,0,1,22,37,1,8,508,18223
다사4546,0,0,0,1,0,0,12,20,1,16,1297,19372
다사6144,0,0,0,14,0,1,24,20,1,12,749,29785
다사6347,0,0,0,1,0,0,5,0,0,7,301,7749
다사5443,0,0,0,30,0,1,29,35,2,9,651,25548
다사6641,0,0,0,0,0,0,2,5,2,0,6,283
다사4646,0,0,0,15,0,1,16,28,1,13,854,17623
다사6541,0,0,0,2,0,0,7,13,0,10,445,11599
다사3550,0,0,0,0,0,0,0,0,0,0,0,0
다사4939,0,0,0,0,0,0,0,0,0,0,0,9
다사5746,0,0,0,28,0,1,36,17,1,7,555,16905
다사4549,0,0,0,2,0,0,5,15,1,6,359,12768
다사5142,0,1,1,30,0,0,54,31,1,8,414,39634
다사5548,0,0,0,6,0,1,16,26,1,5,238,14329
다사5950,0,0,0,0,0,0,7,17,1,9,641,12767
다사5348,0,0,0,2,1,1,13,16,2,4,613,13113
