gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,격자_유아인구수_val,격자_총인구수_val
다사6454,0.000000000000000,0.000000000000000,"0",7.000000000000000,0.000000000000000,1.000000000000000,18.000000000000000,28.000000000000000,0.000000000000000,15.000000000000000,596.0000000000000000000000000000000,27206.0000000000000000000000000000000
다사5558,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,18.0000000000000000000000000000000
다사5865,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,16.0000000000000000000000000000000
다사4652,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,17.000000000000000,1.000000000000000,2.000000000000000,264.0000000000000000000000000000000,4468.0000000000000000000000000000000
다사5742,0.000000000000000,0.000000000000000,"0",5.000000000000000,0.000000000000000,0.000000000000000,7.000000000000000,18.000000000000000,0.000000000000000,1.000000000000000,249.0000000000000000000000000000000,8181.0000000000000000000000000000000
다사5639,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,69.0000000000000000000000000000000,1415.0000000000000000000000000000000
다사5457,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.0000000000000000000000000000000,226.0000000000000000000000000000000
다사6259,0.000000000000000,1.000000000000000,"1",7.000000000000000,1.000000000000000,0.000000000000000,7.000000000000000,28.000000000000000,0.000000000000000,10.000000000000000,379.0000000000000000000000000000000,12970.0000000000000000000000000000000
다사4744,0.000000000000000,0.000000000000000,"0",16.000000000000000,0.000000000000000,0.000000000000000,13.000000000000000,40.000000000000000,1.000000000000000,11.000000000000000,1062.0000000000000000000000000000000,28218.0000000000000000000000000000000
다사6442,0.000000000000000,0.000000000000000,"0",1.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,9.000000000000000,0.000000000000000,2.000000000000000,109.0000000000000000000000000000000,2719.0000000000000000000000000000000
다사6340,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,9.000000000000000,0.000000000000000,3.000000000000000,39.9999999999999928945726423989981,808.0000000000000000000000000000000
다사5540,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,15.0000000000000000000000000000000
다사5447,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,,6.0000000000000000000000000000000
다사5944,0.000000000000000,0.000000000000000,"0",27.000000000000000,0.000000000000000,1.000000000000000,49.000000000000000,25.000000000000000,1.000000000000000,8.000000000000000,689.0000000000000000000000000000000,22912.0000000000000000000000000000000
다사5966,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,32.0000000000000000000000000000000
