gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
다사4082,0,0,0,0,0,0,0,0,0,0,0,55
다사6465,0,0,0,0,0,0,0,0,0,0,0,0
다바5787,0,0,0,0,0,0,0,7,0,0,0,100
다사9528,0,0,0,0,0,0,0,0,0,0,0,0
다바4783,0,0,0,0,0,0,0,5,0,0,0,76
다사4570,0,0,0,1,0,0,0,3,0,0,0,73
다사5235,0,0,0,0,0,0,0,0,0,0,15,442
다사4564,0,0,0,0,0,0,0,10,0,0,0,191
다사4131,0,0,0,0,0,0,0,4,0,1,45,490
다사9024,0,0,0,0,0,0,0,1,0,0,0,12
다사6491,0,0,0,0,0,0,0,0,0,0,0,43
다아8502,0,0,0,0,0,0,0,0,0,0,0,31
다사4808,0,0,0,0,0,0,0,0,0,1,0,0
다바5593,0,0,0,0,0,0,0,1,0,0,0,41
다사7981,0,0,0,0,0,0,0,4,0,0,0,135
다사8124,0,0,0,0,0,0,0,0,0,0,0,30
다사3614,0,0,0,0,0,0,0,0,0,0,0,50
다아5605,0,0,0,0,0,0,0,0,0,0,0,52
다바4993,0,0,0,1,0,1,3,9,0,1,9,407
다바4997,0,0,0,0,0,0,0,0,0,0,0,72
다사6531,0,0,0,7,0,0,10,8,1,3,107,3971
다사6676,0,0,0,0,0,0,0,2,0,1,8,550
다사5998,0,0,0,0,0,0,0,0,0,0,0,29
다사4367,0,0,0,1,0,0,4,13,0,3,63,3632
다사8913,0,0,0,0,0,0,0,0,0,0,0,21
다사4822,0,0,0,0,0,0,2,7,0,0,13,711
다사7316,0,0,0,0,0,0,0,0,0,1,95,1547
다사8228,0,0,0,0,0,0,0,0,0,0,0,75
다사3914,0,0,0,0,0,0,0,1,0,0,0,41
다사9574,0,0,0,0,0,0,0,6,1,0,0,202
다사9497,0,0,0,0,0,0,0,0,0,0,0,14
다사4935,0,0,0,0,0,0,1,0,0,0,11,275
다사3674,0,0,0,12,0,1,14,22,1,21,311,9785
다사4729,0,0,0,0,0,0,0,0,0,0,0,0
다사8774,0,0,0,0,0,0,0,2,0,0,0,263
다바8794,0,0,0,0,0,0,1,2,0,0,0,105
다사6795,0,0,0,0,0,0,1,8,0,0,0,54
다사6211,0,0,0,5,0,0,17,7,0,4,261,7749
다아5904,0,0,0,0,0,0,0,0,0,0,0,21
라사2348,0,0,0,0,0,0,0,0,0,0,0,59
다사2311,0,0,0,0,0,0,0,0,0,0,0,0
다바7490,0,0,0,0,0,0,1,5,0,0,69,1992
다바9195,0,0,0,0,0,0,0,1,0,0,0,152
라사0289,0,0,0,0,0,0,0,0,0,0,0,21
다사4994,0,0,0,0,0,0,0,2,0,2,0,365
라사1326,0,0,0,0,0,0,0,3,0,0,0,239
다사8173,0,0,0,0,0,0,0,0,0,0,0,92
라사1113,0,0,0,0,0,0,0,0,0,0,0,20
다사9949,0,0,0,0,0,0,0,2,0,0,0,166
다사4726,0,0,0,0,0,0,0,1,0,0,0,96
다사9503,0,0,0,0,0,0,0,0,0,0,0,10
다사6695,0,0,0,0,0,0,0,4,0,0,0,86
라사1259,0,0,0,0,0,0,0,0,0,0,0,0
다사4358,0,0,0,0,0,0,0,8,0,2,69,1189
라사1144,0,0,0,0,0,0,0,6,0,0,6,100
다사6103,0,0,0,3,0,0,10,13,0,15,528,12013
다사6616,0,0,0,0,0,0,1,3,0,3,241,5625
다사8123,0,0,0,0,0,0,0,3,0,0,0,193
다사4571,0,0,0,0,0,0,0,6,0,1,0,371
다사7147,0,0,0,0,0,0,1,6,0,0,0,288
라사0057,0,0,0,0,0,0,0,0,0,0,0,42
라사1413,0,0,0,0,0,0,0,3,0,0,0,65
다바7590,0,0,0,1,0,0,1,6,0,10,562,6084
다사9633,0,0,0,0,0,0,0,2,0,0,0,23
다사1714,0,0,0,0,0,0,0,1,0,0,0,84
다사9966,0,0,0,0,0,0,0,2,0,0,0,55
다사8457,0,0,0,0,0,0,0,0,0,0,0,0
다바7396,0,0,0,0,0,0,1,4,0,0,0,168
다바6797,0,0,0,0,0,0,1,2,0,0,0,20
다사3011,0,0,0,0,0,0,0,3,0,0,0,184
라사0404,0,0,0,0,0,0,0,0,0,0,0,14
다사9432,0,0,0,0,0,0,0,2,0,0,0,53
다사9330,0,0,0,0,0,0,0,2,0,0,0,59
다아5602,0,0,0,0,0,0,0,4,0,0,0,59
다사7294,0,0,0,0,0,0,0,6,0,1,0,117
다아9402,0,0,0,0,0,0,0,0,0,0,0,0
다사9973,0,0,0,0,0,0,0,0,0,0,0,32
다사5184,0,0,0,0,0,0,1,8,0,0,0,163
다사9373,0,0,0,0,0,0,0,0,0,0,0,51
다사7712,0,0,0,0,0,0,0,0,0,0,0,8
라사1811,0,0,0,0,0,0,0,2,0,0,0,83
다사5926,0,0,0,0,0,0,0,2,0,0,0,77
다바6893,0,0,0,0,0,0,1,6,0,0,0,165
다사7386,0,0,0,0,0,0,0,2,0,0,0,133
다사4088,0,0,0,0,0,0,0,3,0,1,0,146
다사8224,0,0,0,0,0,0,0,7,0,0,0,180
다사5190,0,0,0,0,0,0,0,0,0,0,0,11
다아7912,0,0,0,0,0,0,0,0,0,0,0,8
다바5396,0,0,0,0,0,0,0,2,0,0,0,88
다사9038,0,0,0,0,0,0,0,0,0,0,0,59
다사8516,0,0,0,0,0,0,0,0,0,0,0,22
라사0240,0,0,0,0,0,0,0,5,0,0,0,286
다사6571,0,0,0,0,0,0,1,5,0,0,80,946
